time,temperature,humidity,pressure,light,moisture_1,moisture_2,moisture_3
2023-06-03 00:02:05,26.61,70.31,1000.12,792.97,85.76,0,0
2023-06-03 00:07:05,26.6,71.81,1000.12,792.42,85.76,0,0
2023-06-03 00:12:05,26.6,72.25,1000.17,792.97,85.83,0,0
2023-06-03 00:17:05,26.61,72.15,1000.17,792.97,86.04,0,0
2023-06-03 00:22:05,26.6,73.11,1000.15,792.97,86.04,0,0
2023-06-03 00:27:05,26.6,72.18,1000.11,792.97,86.39,0,0
2023-06-03 00:32:05,26.59,72.27,1000.19,792.97,86.43,0,0
2023-06-03 00:37:05,26.59,72.79,1000.24,792.97,86.29,0,0
2023-06-03 00:42:05,26.58,72.41,1000.16,795.3,86.25,0,0
2023-06-03 00:47:05,26.58,72.34,1000.2,795.3,86.21,0,0
2023-06-03 00:52:05,26.58,72.38,1000.3,797.63,86.18,0,0
2023-06-03 00:57:05,26.59,74.14,1000.27,797.07,86.57,0,0
2023-06-03 01:02:05,26.6,73.11,1000.3,797.96,86.88,0,0
2023-06-03 01:07:05,26.58,73.76,1000.21,799.4,86.67,0,0
2023-06-03 01:12:05,26.58,73.17,1000.21,800.29,86.25,0,0
2023-06-03 01:17:05,26.56,72.64,1000.17,800.84,86.04,0,0
2023-06-03 01:22:05,26.57,71.21,1000.14,800.84,85.56,0,0
2023-06-03 01:27:05,26.57,73.35,1000.13,803.5,86.04,0,0
2023-06-03 01:32:05,26.57,71.29,1000.13,802.62,85.35,0,0
2023-06-03 01:37:05,26.56,71.55,1000.09,803.5,85.0,0,0
2023-06-03 01:42:05,26.55,71.51,1000.03,804.06,85.14,0,0
2023-06-03 01:47:05,26.53,72.6,1000.02,800.29,84.59,0,0
2023-06-03 01:52:05,26.6,71.9,1000.14,800.29,83.51,0,0
2023-06-03 01:57:05,26.65,72.05,1000.14,800.62,81.82,0,0
2023-06-03 02:02:05,26.67,71.94,1000.14,800.29,81.42,0,0
2023-06-03 02:07:05,26.7,72.97,1000.12,800.62,81.62,0,0
2023-06-03 02:12:05,26.69,72.61,1000.17,797.96,81.35,0,0
2023-06-03 02:17:05,26.72,72.56,1000.2,797.96,80.88,0,0
2023-06-03 02:22:05,26.73,72.85,1000.12,799.74,81.05,0,0
2023-06-03 02:27:05,26.74,72.93,1000.12,797.07,81.15,0,0
2023-06-03 02:32:05,26.74,73.44,1000.23,797.07,81.08,0,0
2023-06-03 02:37:05,26.73,73.01,1000.2,795.63,80.99,0,0
2023-06-03 02:42:05,26.72,72.64,1000.19,794.75,81.35,0,0
2023-06-03 02:47:05,26.71,72.55,1000.15,794.75,80.92,0,0
2023-06-03 02:52:05,26.71,72.71,1000.2,792.97,80.95,0,0
2023-06-03 02:57:05,26.7,72.63,1000.2,792.42,80.81,0,0
2023-06-03 03:02:05,26.71,73.3,1000.26,791.53,80.88,0,0
2023-06-03 03:07:05,26.7,72.68,1000.33,790.65,81.42,0,0
2023-06-03 03:12:05,26.68,72.89,1000.38,791.53,81.55,0,0
2023-06-03 03:17:05,26.69,73.49,1000.41,790.65,82.09,0,0
2023-06-03 03:22:05,26.69,73.82,1000.44,790.98,82.16,0,0
2023-06-03 03:27:05,26.66,71.9,1000.48,790.65,82.77,0,0
2023-06-03 03:32:05,26.64,73.23,1000.52,790.98,82.64,0,0
2023-06-03 03:37:05,26.65,72.46,1000.66,790.98,82.57,0,0
2023-06-03 03:42:05,26.64,73.5,1000.74,790.98,82.43,0,0
2023-06-03 03:47:05,26.63,73.17,1000.72,788.32,83.24,0,0
2023-06-03 03:52:05,26.61,72.59,1000.7,790.98,83.31,0,0
2023-06-03 03:57:05,26.6,73.93,1000.67,788.32,83.26,0,0
2023-06-03 04:02:05,26.59,73.18,1000.66,787.43,84.39,0,0
2023-06-03 04:07:05,26.58,72.91,1000.73,788.32,84.79,0,0
2023-06-03 04:12:05,26.57,73.25,1000.78,790.98,84.65,0,0
2023-06-03 04:17:05,26.55,72.79,1000.85,790.65,85.0,0,0
2023-06-03 04:22:05,26.55,73.31,1000.79,790.65,85.14,0,0
2023-06-03 04:27:05,26.55,73.9,1000.77,790.65,85.07,0,0
2023-06-03 04:32:05,26.54,73.52,1000.76,790.65,85.14,0,0
2023-06-03 04:37:05,26.52,73.34,1000.71,791.53,85.76,0,0
2023-06-03 04:42:05,26.51,73.83,1000.75,791.53,85.35,0,0
2023-06-03 04:47:05,26.5,73.58,1000.78,790.65,86.07,0,0
2023-06-03 04:52:05,26.5,73.56,1000.9,791.2,85.62,0,0
2023-06-03 04:57:05,26.51,73.82,1000.98,790.65,86.07,0,0
2023-06-03 05:02:05,26.49,73.37,1000.98,790.65,85.97,0,0
2023-06-03 05:07:05,26.49,74.32,1000.91,790.65,86.04,0,0
2023-06-03 05:12:05,26.5,73.81,1001.0,790.65,86.53,0,0
2023-06-03 05:17:05,26.49,74.63,1000.99,790.65,87.0,0,0
2023-06-03 05:22:05,26.5,73.93,1001.04,791.53,87.57,0,0
2023-06-03 05:27:05,26.5,74.21,1001.03,792.09,87.57,0,0
2023-06-03 05:32:05,26.53,74.52,1001.04,792.97,86.71,0,0
2023-06-03 05:37:05,26.56,73.73,1001.04,792.09,87.36,0,0
2023-06-03 05:42:05,26.59,73.74,1001.09,791.53,87.86,0,0
2023-06-03 05:47:05,26.59,74.44,1001.15,791.53,88.71,0,0
2023-06-03 05:52:05,26.76,73.3,1001.2,792.09,89.29,0,0
2023-06-03 05:57:05,26.73,73.8,1001.24,792.09,90.14,0,0
2023-06-03 06:02:05,26.67,73.43,1001.2,793.86,90.14,0,0
2023-06-03 06:07:05,26.67,74.03,1001.22,792.97,90.29,0,0
2023-06-03 06:12:05,26.69,74.14,1001.23,792.09,90.57,0,0
2023-06-03 06:17:05,26.69,73.66,1001.26,794.41,90.79,0,0
2023-06-03 06:22:05,26.73,73.84,1001.38,796.19,90.79,0,0
2023-06-03 06:27:05,26.73,73.94,1001.36,795.63,91.18,0,0
2023-06-03 06:32:05,26.74,73.75,1001.42,794.75,91.47,0,0
2023-06-03 06:37:05,26.74,73.81,1001.51,797.07,91.4,0,0
2023-06-03 06:42:05,26.75,73.79,1001.5,796.19,91.54,0,0
2023-06-03 06:47:05,26.78,73.78,1001.59,795.3,91.43,0,0
2023-06-03 06:52:05,26.78,72.24,1001.54,796.19,91.54,0,0
2023-06-03 06:57:05,26.81,73.44,1001.51,798.51,91.03,0,0
2023-06-03 07:02:05,26.83,72.77,1001.5,797.96,91.47,0,0
2023-06-03 07:07:05,26.85,73.03,1001.59,797.96,91.47,0,0
2023-06-03 07:12:05,26.89,73.27,1001.66,797.07,91.76,0,0
2023-06-03 07:17:05,26.9,73.05,1001.65,800.29,90.36,0,0
2023-06-03 07:22:05,26.93,72.99,1001.69,800.29,90.59,0,0
2023-06-03 07:27:05,26.93,72.89,1001.67,800.29,90.57,0,0
2023-06-03 07:32:05,26.93,72.58,1001.67,800.29,91.1,0,0
2023-06-03 07:37:05,26.95,72.86,1001.72,801.18,91.69,0,0
2023-06-03 07:42:05,26.95,72.81,1001.73,801.18,92.07,0,0
2023-06-03 07:47:05,26.94,72.6,1001.76,801.18,91.99,0,0
2023-06-03 07:52:05,26.93,72.13,1001.78,800.84,92.57,0,0
2023-06-03 07:57:05,26.94,72.36,1001.83,803.5,92.13,0,0
2023-06-03 08:02:05,26.94,71.84,1001.89,802.62,92.14,0,0
2023-06-03 08:07:05,26.94,71.83,1002.01,804.39,92.43,0,0
2023-06-03 08:12:05,26.93,72.0,1002.11,804.39,92.21,0,0
2023-06-03 08:17:05,26.93,72.45,1002.1,804.39,92.13,0,0
2023-06-03 08:22:05,26.95,72.05,1002.13,804.94,92.21,0,0
2023-06-03 08:27:05,26.95,71.94,1002.12,805.83,91.91,0,0
2023-06-03 08:32:05,26.93,72.18,1002.16,804.94,91.62,0,0
2023-06-03 08:37:05,26.95,72.45,1002.22,806.72,91.76,0,0
2023-06-03 08:42:05,26.97,72.23,1002.3,806.72,91.69,0,0
2023-06-03 08:47:05,26.95,71.43,1002.38,809.93,92.07,0,0
2023-06-03 08:52:05,26.95,72.36,1002.4,809.93,92.13,0,0
2023-06-03 08:57:05,26.95,71.84,1002.55,809.6,92.28,0,0
2023-06-03 09:02:05,26.95,72.8,1002.5,810.48,92.35,0,0
2023-06-03 09:07:05,26.95,72.04,1002.56,810.48,92.57,0,0
2023-06-03 09:12:05,26.95,71.98,1002.59,811.59,92.65,0,0
2023-06-03 09:17:05,26.99,72.19,1002.59,809.6,92.5,0,0
2023-06-03 09:22:05,26.98,71.85,1002.58,812.48,92.5,0,0
2023-06-03 09:27:05,26.97,71.59,1002.5,810.7,92.57,0,0
2023-06-03 09:32:05,27.0,72.2,1002.57,810.48,92.65,0,0
2023-06-03 09:37:05,27.01,71.23,1002.5,811.59,92.79,0,0
2023-06-03 09:42:05,27.02,71.86,1002.49,812.48,92.65,0,0
2023-06-03 09:47:05,27.02,71.56,1002.5,812.48,92.5,0,0
2023-06-03 09:52:05,27.01,71.65,1002.51,813.36,92.72,0,0
2023-06-03 09:57:05,27.01,71.11,1002.59,815.14,92.94,0,0
2023-06-03 10:02:05,26.98,71.73,1002.55,812.48,93.01,0,0
2023-06-03 10:07:05,27.05,71.57,1002.61,816.91,92.94,0,0
2023-06-03 10:12:05,27.05,71.65,1002.51,816.03,93.01,0,0
2023-06-03 10:17:05,27.07,72.2,1002.46,816.91,92.94,0,0
2023-06-03 10:22:05,27.08,71.81,1002.46,816.03,93.01,0,0
2023-06-03 10:27:05,27.08,71.72,1002.5,816.91,93.16,0,0
2023-06-03 10:32:05,27.11,71.54,1002.55,816.91,92.94,0,0
2023-06-03 10:37:05,27.12,71.92,1002.56,820.13,92.94,0,0
2023-06-03 10:42:05,27.1,71.32,1002.48,819.57,93.01,0,0
2023-06-03 10:47:05,27.09,71.33,1002.45,820.13,93.09,0,0
2023-06-03 10:52:05,27.11,71.44,1002.52,819.57,93.24,0,0
2023-06-03 10:57:05,27.1,71.31,1002.52,819.24,93.48,0,0
2023-06-03 11:02:05,27.12,71.53,1002.47,819.57,93.6,0,0
2023-06-03 11:07:05,27.14,71.45,1002.47,821.9,93.09,0,0
2023-06-03 11:12:05,27.16,71.33,1002.44,821.9,93.53,0,0
2023-06-03 11:17:05,27.16,71.25,1002.39,820.13,93.48,0,0
2023-06-03 11:22:05,27.17,71.56,1002.39,822.46,93.53,0,0
2023-06-03 11:27:05,27.19,71.44,1002.39,821.9,93.68,0,0
2023-06-03 11:32:05,27.23,72.32,1002.42,821.01,93.6,0,0
2023-06-03 11:37:05,27.28,71.86,1002.42,821.9,94.34,0,0
2023-06-03 11:42:05,27.28,71.98,1002.42,822.79,94.41,0,0
2023-06-03 11:47:05,27.27,73.04,1002.36,822.79,94.93,0,0
2023-06-03 11:52:05,27.27,72.27,1002.41,823.34,94.63,0,0
2023-06-03 11:57:05,27.27,71.64,1002.5,822.79,95.15,0,0
2023-06-03 12:02:05,27.28,71.68,1002.45,823.34,94.85,0,0
2023-06-03 12:07:05,27.28,71.92,1002.44,822.46,94.63,0,0
2023-06-03 12:12:05,27.28,71.71,1002.5,823.34,94.32,0,0
2023-06-03 12:17:05,27.26,71.51,1002.53,824.23,94.32,0,0
2023-06-03 12:22:05,27.29,71.67,1002.53,824.23,94.63,0,0
2023-06-03 12:27:05,27.3,71.9,1002.48,823.34,94.56,0,0
2023-06-03 12:32:05,27.33,71.9,1002.5,823.68,94.62,0,0
2023-06-03 12:37:05,27.35,71.91,1002.55,824.23,94.63,0,0
2023-06-03 12:42:05,27.35,72.23,1002.56,823.34,94.7,0,0
2023-06-03 12:47:05,27.36,71.77,1002.5,824.23,94.55,0,0
2023-06-03 12:52:05,27.37,72.07,1002.52,824.23,94.77,0,0
2023-06-03 12:57:05,27.38,71.66,1002.58,824.23,94.55,0,0
2023-06-03 13:02:05,27.38,71.59,1002.52,826.0,94.49,0,0
2023-06-03 13:07:05,27.37,71.67,1002.44,826.56,94.56,0,0
2023-06-03 13:12:05,27.38,71.91,1002.49,824.23,94.78,0,0
2023-06-03 13:17:05,27.37,70.99,1002.35,826.0,94.85,0,0
2023-06-03 13:22:05,27.39,72.25,1002.37,824.56,94.92,0,0
2023-06-03 13:27:05,27.4,72.04,1002.4,825.12,94.92,0,0
2023-06-03 13:32:05,27.41,71.98,1002.29,825.12,94.85,0,0
2023-06-03 13:37:05,27.41,72.04,1002.28,824.23,94.85,0,0
2023-06-03 13:42:05,27.4,72.73,1002.22,828.33,94.77,0,0
2023-06-03 13:47:05,27.45,71.95,1002.13,825.12,94.63,0,0
2023-06-03 13:52:05,27.43,72.12,1002.1,825.12,94.49,0,0
2023-06-03 13:57:05,27.45,71.61,1002.12,825.12,94.49,0,0
2023-06-03 14:02:05,27.44,71.52,1002.02,825.12,94.63,0,0
2023-06-03 14:07:05,27.45,71.31,1001.95,825.12,94.85,0,0
2023-06-03 14:12:05,27.45,72.05,1001.92,824.23,94.77,0,0
2023-06-03 14:17:05,27.46,71.55,1001.91,825.12,94.77,0,0
2023-06-03 14:22:05,27.43,70.34,1001.9,825.12,94.41,0,0
2023-06-03 14:27:05,27.43,71.42,1001.81,825.12,94.26,0,0
2023-06-03 14:32:05,27.41,71.02,1001.86,825.12,94.41,0,0
2023-06-03 14:37:05,27.4,71.26,1001.84,826.0,94.32,0,0
2023-06-03 14:42:05,27.41,71.08,1001.88,826.0,94.63,0,0
2023-06-03 14:47:05,27.4,71.29,1001.81,826.56,94.41,0,0
2023-06-03 14:52:05,27.39,70.1,1001.77,829.22,94.78,0,0
2023-06-03 14:57:05,27.4,70.98,1001.74,825.12,94.93,0,0
